OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
3.640: [GC (Allocation Failure) [PSYoungGen: 7826K->7139K(14336K)] 40749K->40671K(58368K), 0.0015630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.701: [GC (Allocation Failure) [PSYoungGen: 14293K->6723K(14336K)] 47825K->40254K(58368K), 0.0009817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.703: [GC (Allocation Failure) [PSYoungGen: 13877K->5666K(14336K)] 47409K->39206K(58368K), 0.0013499 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.747: [GC (Allocation Failure) [PSYoungGen: 12821K->4610K(14336K)] 46360K->38165K(58368K), 0.0010209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.795: [GC (Allocation Failure) [PSYoungGen: 11764K->3553K(14336K)] 45320K->37125K(58368K), 0.0008326 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.796: [GC (Allocation Failure) [PSYoungGen: 10708K->2497K(14336K)] 44279K->36076K(58368K), 0.0009394 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.841: [GC (Allocation Failure) [PSYoungGen: 9651K->1440K(14336K)] 43231K->35028K(58368K), 0.0009234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.843: [GC (Allocation Failure) [PSYoungGen: 8608K->512K(14336K)] 42196K->34115K(58368K), 0.0005588 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.888: [GC (Allocation Failure) [PSYoungGen: 7655K->5954K(14336K)] 41259K->39574K(58368K), 0.0019028 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.891: [GC (Allocation Failure) [PSYoungGen: 13108K->4898K(14336K)] 46728K->38533K(58368K), 0.0009351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.950: [GC (Allocation Failure) [PSYoungGen: 12052K->3841K(14336K)] 45687K->37493K(58368K), 0.0008363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.996: [GC (Allocation Failure) [PSYoungGen: 10996K->2785K(14336K)] 44647K->36452K(58368K), 0.0005508 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.997: [GC (Allocation Failure) [PSYoungGen: 9939K->1728K(14336K)] 43607K->35412K(58368K), 0.0004862 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.044: [GC (Allocation Failure) [PSYoungGen: 8883K->672K(14336K)] 42566K->34363K(58368K), 0.0006323 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.045: [GC (Allocation Failure) [PSYoungGen: 7826K->7139K(14336K)] 41518K->41455K(58368K), 0.0016931 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.092: [GC (Allocation Failure) [PSYoungGen: 14293K->6755K(14336K)] 48609K->41071K(58368K), 0.0010287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.094: [GC (Allocation Failure) [PSYoungGen: 13909K->5698K(14336K)] 48225K->40022K(58368K), 0.0007604 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.138: [GC (Allocation Failure) [PSYoungGen: 12861K->2977K(14336K)] 47185K->37309K(58368K), 0.0006138 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
